,Bee Gees,love,loved,lovers,loves
0,855 6019,4.0,,,
1,Above And Beyond,14.0,1.0,,
2,After Dark,1.0,,,
3,Black Diamond,2.0,,,
4,Blue Island,1.0,,,
5,Bodyguard,9.0,,,
6,Could It Be,10.0,,,
7,Embrace,1.0,,1.0,
8,Esp,4.0,,,
9,"Every Second, Every Minute",4.0,,,
10,Fanny (Be Tender With My Love),27.0,,,
11,Follow The Wind,2.0,,,
12,Ghost Train,2.0,,,
13,Here I Am,5.0,,,
14,I Believe In Miracles,1.0,,,
15,I Can Bring Love,9.0,,,
16,I Can't Let You Go,1.0,,,
17,I Still Love You,10.0,,,
18,I Was The Child,2.0,,,
19,I'm Satisfied,6.0,,,
20,Islands In The Stream,7.0,,,
21,It's Just The Way,2.0,,1.0,
22,Jive Talkin',5.0,,,
23,King And Country,1.0,,,
24,Life Goes On,9.0,,,1.0
25,Living Eyes,2.0,,,
26,Living Together,1.0,,,
27,All Of My Life,6.0,,,
28,Alone,3.0,,,
29,An Everlasting Love,15.0,,,
30,And The Sun Will Shine,2.0,,,
31,Angela,3.0,,,
32,Anything For You,1.0,,,
33,Be Who You Are,6.0,,,
34,Big Chance,4.0,1.0,,
35,Birdie Told Me,3.0,,,
36,Boogie Child,6.0,,,
37,Butterfly,,1.0,,
38,Can't Keep A Good Man Down,11.0,,,
39,Charade,3.0,,1.0,
40,Country Lanes,5.0,,,
41,Desire,1.0,,,
42,Dimensions,2.0,,,
43,Dogs,4.0,,,
44,Don't Forget To Remember,7.0,,,
45,Don't Throw It All Away,22.0,,,
46,Evolution,3.0,,,
47,Fallen Angel,2.0,,,
48,First Of May,2.0,,,
49,For Whom The Bell Tolls,3.0,,,
50,Forever,2.0,,,
51,Give A Hand Take A Hand,5.0,,,
52,Giving Up The Ghost,1.0,,,
53,Glasshouse,1.0,,,
54,Gotta Get A Message To You,1.0,,,
55,Grease,1.0,,,
56,Guilty,5.0,,,
57,Had A Lot Of Love Last Night,7.0,,,
58,Happy Ever After,3.0,,,
59,Haunted House,6.0,,,
60,Heart Like Mine,1.0,,1.0,
61,Heartbreaker,8.0,,,
62,Heavy Breathing,1.0,,,
63,He's A Liar,1.0,,,
64,House Of Shame,2.0,,,
65,House Without Windows,3.0,,,
66,How Deep Is Your Love,15.0,,,
67,How Love Was True,4.0,,,
68,How Many Birds,4.0,,,
69,Human Sacrifice,3.0,,,
70,I Am The World,2.0,,,
71,I Can't See Anything,2.0,,,
72,I Close My Eyes,3.0,,,
73,I Could Not Love You More,8.0,,1.0,
74,I Don't Wanna Be The One,2.0,,,
75,I Just Want To Be Your Everything,7.0,,,
76,I Lay Down And Die,3.0,,,
77,I Love You Too Much,5.0,,,
78,I Surrender,4.0,,,
79,I Will,9.0,,,
80,I Will Always Love You,13.0,,,
81,If I Can't Have You,2.0,,,
82,Immortality,2.0,,,
83,In The Morning,1.0,,,
84,I.O.I.O.,2.0,,,
85,Irresistible Force,2.0,,,
86,It Doesn't Matter Much To Me,2.0,,,
87,Jingle Jangle,3.0,,,
88,Juliet,4.0,,,
89,Just In Case,6.0,,,
90,Kiss Of Life,1.0,,,
91,Kitty Can,2.0,,,1.0
92,Lamplight,2.0,,,
93,Let There Be Love,10.0,2.0,,
94,Like Nobody Else,10.0,,,
95,Lost In Your Love,8.0,,,
96,Love Me,19.0,,,
97,Love Never Dies,12.0,,,
98,Love So Right,4.0,,,
99,Love You Inside And Out,10.0,,1.0,3.0
100,Lovers,,,50.0,
101,Man In The Middle,1.0,,,
102,Man On Fire,10.0,,,
103,Miracles Happen,2.0,,,
104,More Than A Woman,3.0,,,
