,ABBA,love,hate,loving,loved,loves,adore
0,As Good As New,7.0,,,,,
1,Bang,10.0,,,,,
2,Bang-A-Boomerang,10.0,,,,,
3,Chiquitita,,1.0,,,,
4,Dance,2.0,,,,,
5,Disillusion,1.0,,,,,
6,Dream World,2.0,,,,,
7,Eagle,1.0,,,,,
8,From A Twinkling Star To A Passing Angel,2.0,,,,,
9,Gimme Gimme Gimme,,1.0,,,,
10,Gonna Sing You My Lovesong,10.0,,2.0,,,
11,Hamlet III,,,,1.0,,
12,Happy Hawaii,2.0,,,,,
13,He Is Your Brother,6.0,,,,,
14,Head Over Heels,1.0,,,,,
15,Here We'll Stay,11.0,,,,,
16,"Honey, Honey",2.0,,,,,
17,I Am Just A Girl,4.0,,,,1.0,
18,"I Do, I Do, I Do, I Do, I Do",6.0,,,,,
19,I Saw It In The Mirror,1.0,,,,,
20,I've Been Waiting For You,3.0,,,,,2.0
21,Kisses Of Fire,3.0,,,,,
22,Lay All Your Love On Me,6.0,,,,,
23,Like An Angel Passing Through My Room,1.0,,,,,
24,Love Has It's Ways,7.0,,,1.0,,
25,Love Isn't Easy,26.0,,,,,
26,Lovelight,3.0,,,,,
27,Lovers,1.0,,,,,
28,Merry-Go-Round,6.0,,3.0,,,
29,Midnight Special,,,2.0,,,
30,"My Love, My Life",11.0,,,,,
31,"One Man, One Woman",2.0,,,,,
32,People Need Love,8.0,,,,1.0,
33,Rock Me,4.0,,,,,
34,Rubber Ball Man,1.0,,,,,
35,S. O. S.,5.0,,,,,
36,Sitting In The Palmtree,4.0,,,,,
37,Summer Night City,6.0,,,,,
38,Take A Chance On Me,3.0,,,,,
39,That's Me,1.0,,,,,
40,The Visitors,1.0,,,1.0,,
41,Watch Out,,1.0,,,,
42,Waterloo,3.0,,,,,
43,When All Is Said And Done,1.0,,,,,
44,Why Did It Have To Be Me?,3.0,,,,,
